[40, 32, 32, 32, 40, 51, 37, 32, 53, 30, 44, 45, 29, 53, 36, 29]
[29, 24, 16, 28, 22, 23, 24, 26, 36, 26, 32, 32, 23, 17, 28, 34]
[62, 48, 30, 53, 47, 62, 65, 34, 71, 49, 45, 48, 48, 62, 66, 58]
[28, 20, 20, 27, 18, 20, 20, 22, 31, 25, 28, 22, 20, 12, 27, 34]
[40, 37, 25, 31, 23, 33, 42, 26, 34, 40, 30, 24, 27, 22, 39, 45]
[79, 62, 44, 39, 51, 55, 70, 63, 57, 63, 51, 59, 45, 48, 48, 59]
[35, 34, 23, 19, 28, 20, 32, 27, 32, 26, 14, 28, 21, 25, 30, 32]
[32, 31, 27, 22, 29, 28, 32, 29, 38, 19, 16, 28, 22, 36, 40, 33]
[23, 35, 28, 31, 30, 42, 29, 28, 32, 27, 29, 30, 25, 21, 29, 39]
[53, 57, 28, 24, 46, 52, 64, 58, 55, 39, 37, 66, 35, 61, 48, 41]
[84, 72, 71, 53, 65, 51, 58, 71, 61, 64, 53, 53, 51, 35, 55, 79]
[65, 49, 42, 30, 64, 34, 38, 50, 49, 30, 40, 50, 41, 52, 30, 29]
[66, 62, 37, 26, 39, 37, 63, 64, 42, 56, 40, 54, 35, 31, 42, 56]
[119, 103, 88, 87, 118, 107, 98, 86, 126, 78, 91, 102, 87, 119, 99, 91]
[24, 41, 30, 16, 42, 41, 30, 33, 33, 16, 31, 41, 22, 47, 24, 16]
[32, 30, 25, 24, 30, 33, 28, 31, 24, 24, 22, 25, 25, 19, 21, 31]
[46, 42, 25, 18, 45, 35, 39, 51, 36, 24, 35, 51, 31, 43, 24, 23]
[48, 45, 52, 39, 52, 42, 33, 41, 51, 29, 33, 36, 35, 42, 45, 47]
[25, 37, 41, 44, 37, 54, 30, 32, 61, 30, 49, 46, 28, 42, 50, 49]
[56, 65, 45, 45, 41, 56, 66, 59, 56, 55, 38, 51, 41, 35, 65, 78]
[68, 77, 58, 45, 61, 70, 74, 63, 71, 62, 51, 68, 45, 63, 64, 69]
[26, 30, 28, 35, 30, 36, 27, 25, 40, 21, 25, 26, 27, 27, 41, 42]
[18, 24, 16, 10, 12, 20, 24, 22, 18, 22, 18, 22, 10, 14, 18, 22]
[65, 44, 36, 42, 48, 33, 46, 25, 50, 44, 27, 27, 41, 39, 44, 47]
[50, 50, 30, 24, 42, 43, 51, 59, 48, 37, 39, 61, 32, 44, 38, 41]
[20, 28, 12, 11, 28, 24, 25, 23, 20, 9, 15, 26, 19, 31, 19, 12]
[36, 43, 22, 26, 34, 35, 41, 32, 31, 29, 28, 32, 30, 31, 34, 35]
[61, 65, 48, 37, 47, 63, 71, 58, 68, 56, 48, 64, 37, 63, 64, 61]
[59, 53, 53, 39, 56, 46, 41, 63, 57, 40, 49, 58, 39, 41, 42, 53]
[66, 73, 39, 48, 51, 52, 70, 53, 55, 62, 46, 53, 49, 37, 58, 72]
[55, 50, 35, 25, 55, 30, 45, 35, 50, 25, 20, 40, 35, 60, 45, 30]
[61, 67, 43, 31, 62, 65, 63, 75, 62, 46, 60, 83, 42, 65, 42, 44]
[39, 41, 23, 22, 42, 39, 40, 26, 21, 23, 16, 22, 32, 36, 23, 23]
[69, 63, 30, 32, 54, 56, 74, 45, 41, 47, 26, 41, 47, 57, 46, 44]
[41, 37, 27, 36, 31, 25, 33, 20, 37, 37, 27, 22, 30, 18, 36, 45]
[39, 57, 25, 22, 46, 51, 54, 50, 40, 32, 34, 57, 33, 49, 35, 34]
[26, 20, 16, 14, 26, 18, 17, 28, 26, 12, 25, 30, 18, 25, 16, 14]
[77, 64, 34, 47, 65, 65, 71, 62, 61, 53, 53, 66, 57, 59, 48, 54]
[43, 37, 27, 29, 36, 21, 29, 31, 38, 34, 28, 35, 28, 19, 26, 38]
[68, 87, 57, 44, 62, 71, 79, 70, 67, 67, 61, 74, 47, 60, 63, 71]
[48, 61, 44, 47, 47, 59, 57, 55, 66, 48, 45, 61, 40, 44, 62, 70]
[53, 55, 32, 43, 61, 46, 46, 30, 46, 35, 32, 38, 47, 45, 38, 41]
[66, 62, 51, 41, 69, 67, 56, 69, 59, 41, 56, 67, 49, 62, 43, 47]
[42, 42, 19, 27, 35, 42, 51, 38, 49, 32, 29, 48, 31, 48, 45, 38]
[37, 33, 19, 13, 27, 25, 41, 32, 37, 19, 17, 33, 21, 47, 41, 24]
[25, 39, 28, 15, 39, 42, 34, 36, 40, 15, 32, 46, 21, 55, 32, 17]
[43, 39, 32, 21, 42, 32, 36, 41, 49, 24, 33, 48, 26, 51, 37, 27]
[44, 44, 42, 42, 45, 36, 34, 29, 47, 33, 25, 28, 35, 30, 45, 52]
[73, 54, 38, 40, 39, 41, 67, 61, 73, 55, 50, 62, 40, 54, 71, 66]
[56, 64, 47, 52, 58, 55, 53, 42, 60, 49, 49, 48, 47, 45, 55, 62]
[51, 45, 53, 35, 41, 48, 45, 49, 68, 40, 50, 53, 28, 58, 59, 50]
[24, 18, 14, 9, 21, 14, 16, 28, 21, 12, 21, 28, 14, 20, 12, 12]
[56, 59, 44, 54, 56, 47, 47, 36, 54, 49, 35, 39, 47, 29, 48, 66]
[32, 34, 20, 16, 20, 30, 40, 32, 32, 31, 23, 34, 18, 29, 32, 32]
[22, 22, 18, 27, 22, 26, 23, 19, 36, 17, 21, 24, 21, 25, 35, 32]
[14, 14, 22, 12, 18, 22, 10, 22, 30, 12, 30, 30, 8, 26, 16, 12]
[51, 48, 47, 35, 41, 28, 36, 26, 29, 41, 19, 12, 32, 17, 35, 50]
[49, 63, 43, 33, 65, 65, 54, 45, 46, 34, 39, 51, 42, 63, 37, 34]
[76, 79, 54, 61, 61, 67, 75, 53, 54, 71, 42, 43, 58, 33, 60, 86]
[94, 76, 55, 75, 71, 75, 85, 54, 85, 74, 53, 56, 69, 62, 83, 92]
[51, 61, 60, 40, 49, 65, 58, 55, 65, 44, 49, 53, 35, 63, 67, 60]
[33, 22, 21, 21, 26, 29, 26, 22, 25, 22, 22, 20, 22, 25, 20, 22]
[36, 36, 40, 30, 34, 36, 29, 37, 31, 26, 27, 24, 27, 23, 34, 42]
[19, 20, 18, 16, 19, 27, 21, 14, 18, 17, 16, 14, 15, 20, 17, 18]
[90, 73, 72, 61, 87, 77, 67, 72, 83, 54, 61, 69, 63, 78, 66, 68]
[26, 42, 31, 35, 42, 45, 30, 31, 31, 21, 28, 29, 33, 27, 32, 39]
[35, 27, 29, 28, 31, 35, 31, 27, 37, 20, 19, 23, 26, 35, 38, 34]
[51, 46, 43, 37, 47, 34, 36, 22, 29, 37, 17, 12, 36, 23, 31, 44]
[39, 42, 30, 21, 22, 36, 46, 35, 31, 42, 30, 31, 21, 26, 35, 41]
[66, 45, 40, 46, 49, 54, 53, 57, 77, 49, 63, 69, 42, 58, 55, 54]
[61, 48, 55, 49, 62, 55, 39, 45, 61, 41, 51, 47, 44, 49, 42, 49]
[41, 35, 20, 22, 32, 26, 36, 19, 21, 31, 12, 17, 27, 21, 20, 28]
[73, 46, 47, 41, 44, 49, 56, 55, 66, 54, 58, 54, 39, 53, 54, 54]
[49, 50, 46, 51, 45, 45, 41, 30, 63, 50, 50, 42, 37, 36, 52, 60]
[46, 64, 58, 52, 62, 63, 44, 45, 64, 46, 53, 55, 42, 46, 50, 61]
[43, 44, 35, 44, 43, 45, 42, 33, 67, 37, 46, 50, 35, 50, 56, 50]
[31, 28, 20, 23, 31, 19, 24, 17, 33, 19, 17, 23, 23, 28, 28, 25]
[82, 66, 58, 48, 78, 63, 59, 63, 70, 52, 58, 67, 54, 67, 46, 51]
[34, 23, 13, 23, 22, 26, 35, 19, 38, 22, 18, 25, 23, 36, 38, 28]
[40, 40, 10, 20, 30, 40, 50, 30, 20, 35, 15, 30, 30, 25, 20, 30]
[58, 58, 33, 49, 61, 49, 52, 34, 56, 42, 37, 45, 50, 47, 47, 51]
[59, 32, 28, 30, 41, 40, 42, 41, 44, 36, 39, 41, 35, 42, 29, 31]
[63, 55, 52, 41, 44, 53, 54, 69, 74, 58, 72, 75, 35, 49, 55, 62]
[58, 47, 24, 25, 26, 37, 64, 39, 37, 49, 22, 32, 31, 35, 47, 49]
[49, 63, 46, 45, 55, 56, 51, 45, 42, 40, 37, 37, 45, 37, 48, 58]
[40, 45, 34, 23, 33, 32, 40, 35, 39, 38, 29, 38, 23, 31, 34, 39]
[23, 31, 12, 8, 24, 22, 28, 32, 17, 17, 17, 32, 17, 21, 14, 17]
[66, 68, 56, 59, 71, 62, 53, 59, 75, 51, 64, 67, 54, 54, 58, 67]
[78, 56, 48, 58, 68, 62, 62, 51, 79, 46, 48, 56, 57, 70, 68, 62]
[17, 23, 23, 19, 20, 25, 19, 21, 20, 14, 12, 15, 16, 15, 24, 28]
[34, 28, 21, 28, 33, 41, 34, 16, 21, 22, 12, 11, 30, 28, 24, 27]
[51, 42, 33, 22, 51, 28, 35, 42, 44, 22, 30, 44, 32, 50, 32, 24]
[72, 71, 44, 30, 57, 51, 67, 82, 53, 52, 53, 74, 44, 49, 45, 55]
[96, 81, 56, 46, 74, 61, 81, 74, 64, 65, 51, 65, 59, 63, 58, 66]
[80, 66, 80, 61, 80, 73, 57, 66, 96, 51, 66, 71, 53, 83, 75, 69]
[36, 25, 25, 16, 14, 17, 29, 28, 25, 31, 25, 20, 15, 16, 27, 31]
[73, 91, 67, 50, 69, 90, 89, 79, 74, 66, 60, 76, 53, 75, 76, 79]
[34, 39, 24, 16, 20, 29, 40, 40, 29, 37, 29, 38, 18, 20, 28, 37]
[98, 82, 56, 51, 77, 64, 87, 50, 60, 64, 33, 41, 63, 71, 66, 65]
[30, 36, 18, 29, 38, 40, 34, 24, 29, 21, 24, 28, 32, 32, 27, 28]
